id,observed_on,time_observed_at,time_zone,out_of_range,description,captive_cultivated,place_guess,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
718815,2014-05-30,,Central Time (US & Canada),,"",false,Kettle Moraine Low Prairie SNA,42.911053,-88.492041,,,false,,Lupinus perennis,Lupinus perennis,sundial lupine,Plantae,81528
719956,2014-05-24,,Eastern Time (US & Canada),,"",false,"Erie County, US-PA, US",42.0327986874,-80.035976663,obscured,obscured,true,"",sundial lupine,Lupinus perennis,sundial lupine,Plantae,81528
751147,2014-06-07,,Central Time (US & Canada),,"",false,"8772 S. Lowden Road, Franklin Grove, IL 61031",41.891103,-89.341404,,,false,"",Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
769767,2014-06-25,2014-06-25 17:19:41 UTC,Central Time (US & Canada),,"",false,"Riverside Park, Milwaukee, WI",43.067608,-87.890994,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
818864,2014-08-05,2014-08-05 23:55:00 UTC,Eastern Time (US & Canada),,"Wild Lupine.  A late one.  Found at Wintergarden Park in Bowling Green, Ohio in a restored prairie.",false,"Ohio, US",41.3325848218,-83.6034987915,,obscured,true,gps,Lupinus perennis,Lupinus perennis,sundial lupine,Plantae,81528
819897,2014-08-02,2014-08-02 21:23:50 UTC,Central Time (US & Canada),,"",false,Millston Sand Barrens State Natural Area,44.22909415,-90.70420632,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1067722,2014-06-19,2014-06-19 16:24:29 UTC,Eastern Time (US & Canada),,,false,"49333, Middleville, MI, US",42.7128133333,-85.3768466667,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1067729,2014-06-16,2014-06-16 21:46:56 UTC,Eastern Time (US & Canada),,,false,"Waterloo State Recreation Area, Chelsea, MI, US",42.34223,-84.0814805,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1068603,2014-05-30,2014-05-30 22:54:37 UTC,Eastern Time (US & Canada),,Abundant. No karner Blues....,false,"2910 Alden Nash Ave SE, Lowell, MI, US",42.9122583333,-85.3472216667,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
1432088,2015-04-26,2015-04-26 20:04:51 UTC,Central Time (US & Canada),,"",false,Bauer-Brockway Barrens State Natural Area,44.2997222222,-90.75,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1438653,2015-04-29,,Central Time (US & Canada),,"",false,South Fork Barrens State Natural Area,44.7313888889,-90.9608333333,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1481458,2015-05-12,,Eastern Time (US & Canada),,There were probably about 30 or 40 plants in this area.,false,Boot Lake Nature Preserve,41.751448,-86.010032,,,false,,Lupinus perennis,Lupinus perennis,sundial lupine,Plantae,81528
1493187,2015-05-13,2015-05-13 18:42:45 UTC,Eastern Time (US & Canada),,Cascade metropark  sandy open hillside. Maybe 50 flowering stems. Much less than in past years. Brush has grown a lot. Early in flowering season. ,false,"Ohio, US",41.1661307681,-81.5407773471,,obscured,true,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1493709,2015-05-15,,Central Time (US & Canada),,"",false,"Porter County, US-IN, US",41.61559,-87.0742,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
1504733,2015-05-17,2015-05-17 19:13:10 UTC,Eastern Time (US & Canada),,,false,"New York, US",42.7780827504,-73.997328759,,obscured,true,,sundial lupine,Lupinus perennis,sundial lupine,Plantae,81528
1518211,2015-05-17,2015-05-17 19:11:31 UTC,Eastern Time (US & Canada),,,false,"New York, US",42.6041626947,-73.9884122219,,obscured,true,,sundial lupine,Lupinus perennis,sundial lupine,Plantae,81528
1545911,2015-05-07,2015-05-07 21:19:20 UTC,Eastern Time (US & Canada),,"",false,"Ohio, US",41.5354637524,-83.8775268523,,obscured,true,gps,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
1551080,2015-05-23,2015-05-23 19:47:42 UTC,Central Time (US & Canada),,"Wild Lupine
restored prairie
St Olaf Natural Lands
Northfield, Minnesota",false,"Northfield, Minnesota, United States",44.469331,-93.18655,,,false,"",Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1600713,2015-06-06,2015-06-06 15:51:27 UTC,Eastern Time (US & Canada),,,false,"",42.3234216667,-84.0856333333,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1607238,2015-06-06,2015-06-06 21:16:29 UTC,Central Time (US & Canada),,"",false,Bauer-Brockway Barrens State Natural Area,44.29924,-90.748682,,,false,,Lupinus perennis,Lupinus perennis,sundial lupine,Plantae,81528
1609057,2015-06-06,2015-06-06 21:25:50 UTC,Central Time (US & Canada),,"",false,Bauer-Brockway Barrens State Natural Area,44.297495,-90.747978,,,false,,Lupinus perennis,Lupinus perennis,sundial lupine,Plantae,81528
1620290,2015-06-06,2015-06-06 20:34:09 UTC,Central Time (US & Canada),,"",false,"Jackson, Wisconsin, United States",44.235414,-90.641094,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
1620294,2015-06-06,2015-06-06 20:43:15 UTC,Central Time (US & Canada),,"",false,"Jackson, Wisconsin, United States",44.231894,-90.645399,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
1721765,2015-07-03,2015-07-03 20:50:03 UTC,Central Time (US & Canada),,"",false,Hoffman Hills State Recreation Area,44.9444444444,-91.7833333333,,,false,,Lupinus perennis,Lupinus perennis,sundial lupine,Plantae,81528
1734007,2015-07-03,2015-07-03 15:45:48 UTC,Eastern Time (US & Canada),,,false,"10400 Summit Ave NE, Algoma, MI, US",43.155442,-85.564644,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1826948,2015-05-24,2015-05-24 23:13:30 UTC,Eastern Time (US & Canada),,,false,"Ohio, US",41.2889242135,-83.6715526935,,obscured,true,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1876245,2015-06-25,2015-06-25 18:45:01 UTC,Central Time (US & Canada),,"",false,"Riverside Park, Milwaukee, WI",43.067968,-87.891101,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1901325,2013-05-18,,Eastern Time (US & Canada),,"",false,"Ontario, CA",42.2488140297,-83.1774552783,,obscured,true,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
1953184,2015-09-08,,Eastern Time (US & Canada),,"Didn't see much of this, but I know it was supposed to be here. It must die down somewhat this late in the year. 

Growing on fossil sand dune under bracken.",false,"Ohio, US",41.4226962105,-83.927168378,,obscured,true,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
2843943,2014-06-13,,Eastern Time (US & Canada),,"",false,"New York, US",43.0580155221,-78.4265403088,,obscured,true,,sundial lupine,Lupinus perennis,sundial lupine,Plantae,81528
2994302,2016-04-21,2016-04-21 17:50:49 UTC,Central Time (US & Canada),,,false,"Oakmont Dr Bartlett, IL 60103",41.98999525,-88.19865759,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3024349,2016-04-23,2016-04-23 12:07:16 UTC,Eastern Time (US & Canada),,"herb up to 2 ft
",false,"32001-32137 Schoolhouse Rd Franklin, VA 23851",36.609349,-76.964952,,,false,gps,sundial lupine,Lupinus perennis,sundial lupine,Plantae,81528
3116399,2016-05-06,2016-05-06 18:04:22 UTC,Eastern Time (US & Canada),,"Locally abundant in openings. Sandy soil, looks tilled. Planted scotch pine throughout. Thick cover of Poa pratensis (I think, too early to confirm).  Likely historically oak barrens. ",false,"4280 3 Mile Rd NE, Grand Rapids charter township, MI, US",43.037875,-85.502882,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3116402,2016-05-06,2016-05-06 20:03:20 UTC,Eastern Time (US & Canada),,Abundant in old tilled field,false,"Kent County, US-MI, US",43.0368888333,-85.4981,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3135052,2016-05-09,2016-05-09 20:09:24 UTC,Central Time (US & Canada),,"",false,"Illinois, US",41.3652713535,-88.0196535837,obscured,,true,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3145138,2016-05-10,2016-05-10 14:23:11 UTC,Central Time (US & Canada),,,false,"61031, Franklin Grove, IL, US",41.891175,-89.3432783333,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3155251,2016-05-11,2016-05-12 00:45:39 UTC,Central Time (US & Canada),,"",false,"Rockville County Park, Rockville, Minnesota",45.473618,-94.355929,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3200958,2016-05-17,2016-05-17 15:06:43 UTC,Eastern Time (US & Canada),,,false,"Ontario, CA",42.6793727572,-80.4400922791,,obscured,true,gps,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3224183,2016-05-20,2016-05-20 15:10:30 UTC,Central Time (US & Canada),,,false,"Miller Woods Trail Gary, IN 46403",41.60955494,-87.27657974,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3224561,2016-05-20,2016-05-20 15:21:29 UTC,Central Time (US & Canada),,,false,"Indiana Dunes National Lakeshore, Gary, IN, US",41.6059447825,-87.2700661049,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3224600,2016-05-20,2016-05-20 15:21:48 UTC,Central Time (US & Canada),,,false,"Indiana Dunes National Lakeshore, Gary, IN, US",41.6069424386,-87.2714438383,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3226135,2016-05-20,2016-05-20 16:12:11 UTC,Central Time (US & Canada),,,false,"Indiana Dunes National Lakeshore, Gary, IN, US",41.6065043584,-87.2743940168,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3229717,2016-05-20,2016-05-20 15:59:13 UTC,Central Time (US & Canada),,,false,"5625 E 3rd Ave Gary, IN 46403",41.6040864,-87.2700409,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3231367,2016-05-20,2016-05-20 17:36:23 UTC,Central Time (US & Canada),,,false,"1100 N Mineral Springs Rd Chesterton, IN 46304",41.6312313,-87.0875148,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3239064,2016-05-20,2016-05-20 19:33:43 UTC,Eastern Time (US & Canada),,Common in power line cut. Less frequent at margins of nearby kettle depressions in lakeplain. ,false,"49442, Egelston, MI, US",43.2675533333,-86.1129388333,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3245633,2016-05-21,2016-05-21 14:55:03 UTC,Central Time (US & Canada),,,false,"304 Fayette St Gary, IN 46403",41.6040879,-87.2731257,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3248453,2016-05-21,2016-05-21 15:46:27 UTC,Central Time (US & Canada),,,false,"Lake County, US-IN, US",41.5528032,-87.2813848,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3258771,2016-05-19,2016-05-19 14:28:00 UTC,Bogota,,,false,Edna Taylor Conservation Park,43.054795,-89.3140015833,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3259312,2016-05-20,2016-05-21 03:32:23 UTC,Eastern Time (US & Canada),,"",false,Miller Woods @ Indiana Dunes,41.606845,-87.270053,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3286764,2015-06-01,2015-06-01 21:04:31 UTC,Pacific Time (US & Canada),,,false,"842–892 E Main St, Eagle, WI, US",42.8799332091,-88.4614767406,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3293519,2016-05-24,,Central Time (US & Canada),,,false,"16910 152nd st north, marine on st croix, mn",45.171087,-92.761108,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3293665,2016-05-24,2016-05-24 15:00:00 UTC,Central Time (US & Canada),,"",false,"Minnesota, US",45.1098145489,-92.6655992634,obscured,,true,"",Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3296053,2016-05-14,2016-05-14 14:28:44 UTC,Central Time (US & Canada),,,false,natchusa grasslands,41.890953,-89.342784,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3310782,2016-05-23,,Eastern Time (US & Canada),,Common; forming colonies on relict sand dunes and in openings of sandy oak woodland.,false,"Ohio, US",41.5285439931,-83.8611730615,,obscured,true,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3311841,2016-05-22,2016-05-22 14:30:00 UTC,Bogota,,"",false,Pleasant Valley Conservancy State Natural Area,43.106375,-89.800643,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3326087,2016-05-28,2016-05-28 16:21:21 UTC,Central Time (US & Canada),,White flowered form,false,"Indiana Dunes National Lakeshore, Portage, IN, US",41.6114165928,-87.193059432,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3335311,2016-05-29,,Central Time (US & Canada),,"",false,"Cook County, IL",41.737659,-87.697554,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3350825,2016-05-31,2016-05-31 22:02:55 UTC,Eastern Time (US & Canada),,,false,"2478 Rainswood Dr, Bagley, MI, US",44.9942158582,-84.6634887625,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3355918,2016-05-31,,Central Time (US & Canada),,"",false,"Cook County, US-IL, US",41.962968,-87.631953,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3385082,2016-06-02,2016-06-02 14:45:39 UTC,Central Time (US & Canada),,"Necedah National Wildlife Refuge, WI",false,"Necedah National Wildlife Refuge, Necedah town, WI, US",44.059586,-90.171528,,,false,"",Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3385142,2016-06-02,2016-06-02 16:47:56 UTC,Central Time (US & Canada),,"Necedah National Wildlife Refuge, WI",false,"Necedah National Wildlife Refuge, Kingston, WI, US",44.151908,-90.194812,,,false,"",wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3397440,2016-06-05,2016-06-06 01:04:13 UTC,Eastern Time (US & Canada),,,false,"Nordhouse Dunes Wilderness, Brooks, MI, US",43.4297967473,-85.7421576322,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3427726,2016-06-10,2016-06-10 16:11:04 UTC,Eastern Time (US & Canada),,"Young, dry, degraded forest. Rare, only along trail",false,"49301, Cannon, MI, US",43.0376861667,-85.49633,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3434044,2016-06-10,2016-06-10 20:37:13 UTC,Eastern Time (US & Canada),,Abundant around sandy opening in forest ,false,"49301, Cannon, MI, US",43.0408361667,-85.493255,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3439334,2016-06-11,2016-06-11 14:37:13 UTC,Eastern Time (US & Canada),,,false,United States,41.9178039165,-80.7075884798,obscured,obscured,true,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3449279,2016-06-12,2016-06-12 18:38:30 UTC,Central Time (US & Canada),,Was supposed to be a question about the bumblebee ,false,"56308, Carlos township, MN, US",46.0126333333,-95.3403466667,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
3450492,2016-06-13,2016-06-13 14:17:01 UTC,Eastern Time (US & Canada),,,false,"Nordhouse Dunes Wilderness, Brooks, MI, US",43.4564083333,-85.7311333333,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3535515,2016-06-27,2016-06-27 17:43:11 UTC,Eastern Time (US & Canada),,Common in openings,false,"49301, Cannon, MI, US",43.0311555,-85.5005583333,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3615084,2016-07-03,2016-07-03 15:09:00 UTC,Central Time (US & Canada),,"",false,Braidwood Dunes and Savanna,41.255339,-88.195391,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3629616,2016-07-05,2016-07-05 19:34:25 UTC,Eastern Time (US & Canada),,Abundant in powerline corridor,false,"49024, Portage, MI, US",42.1964624338,-85.6386753359,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3807167,2016-08-04,2016-08-04 14:14:01 UTC,Eastern Time (US & Canada),,,false,"Ohio, US",41.0586777443,-81.5499238776,obscured,obscured,true,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3811386,2016-06-20,2016-06-20 18:39:07 UTC,Central Time (US & Canada),,,false,"Necedah National Wildlife Refuge, Necedah, Wisconsin",44.056104,-90.171726,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3851168,2016-04-20,2016-04-20 13:46:00 UTC,Eastern Time (US & Canada),,,false,,,,private,,true,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
3952575,2016-06-21,2016-06-21 20:31:16 UTC,Central Time (US & Canada),,,false,"Necedah National Wildlife Refuge, Necedah, Wisconsin",44.070413,-90.199664,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
4472512,2016-05-22,2016-05-22 20:11:57 UTC,Central Time (US & Canada),,"",false,"Ohio, US",41.7779202236,-83.6564263215,,obscured,true,"",wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
4541378,2016-05-31,2016-05-31 18:54:00 UTC,Central Time (US & Canada),,,false,"West Bloomington, Bloomington, MN, USA",44.8162583333,-93.3772277778,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
4657467,2016-05-27,2016-05-27 22:31:00 UTC,Central Time (US & Canada),,                               ,false,"Langlade Rd Park, Antigo, WI 54409, USA",45.1429963,-89.1385261,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
4816928,2014-05-27,2014-05-27 16:43:00 UTC,Eastern Time (US & Canada),,,false,"Ontario, CA",43.2402575173,-81.9028377701,obscured,obscured,true,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
4964559,2004-05-06,2004-05-07 04:17:00 UTC,Central Time (US & Canada),,Sandy open pine forest,false,"Texas, US",30.5555693715,-94.2176785096,obscured,,true,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
5009456,2012-05-18,2012-05-18 11:12:00 UTC,Central Time (US & Canada),,SONY DSC,false,Illinois Beach SP,42.4261175,-87.8168105556,,,false,,Lupines,Lupinus perennis,sundial lupine,Plantae,81528
5281032,2015-05-16,2015-05-16 20:51:00 UTC,Central Time (US & Canada),,A large colony on a small sand dune.,false,"Starke County, IN, USA",41.19050294,-86.724357605,,,false,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
5510299,2017-03-30,2017-03-30 17:27:23 UTC,Eastern Time (US & Canada),,"",false,"North Carolina, US",35.6449147623,-78.4295970684,,obscured,true,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
5531418,2017-04-01,2017-04-01 18:14:49 UTC,Central Time (US & Canada),,,false,"3301–3303 S Waldron Rd, Aroma Park, IL, US",41.0789971667,-87.8114783333,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
5568154,2012-05-07,2012-05-07 22:43:00 UTC,Eastern Time (US & Canada),,,false,"Monroe County, MI, USA",41.8762442723,-83.6965817768,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
5632563,2017-04-09,2017-04-09 18:05:57 UTC,Eastern Time (US & Canada),,,false,"North Carolina, US",35.6273807544,-78.5404167255,,obscured,true,,wild lupine,Lupinus perennis,sundial lupine,Plantae,81528
5817334,2017-04-14,2017-04-14 14:54:00 UTC,Central Time (US & Canada),,,false,"Texas, US",30.4625603533,-94.3231385564,obscured,,true,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
5883121,2017-04-14,2017-04-14 16:06:00 UTC,Central Time (US & Canada),,Check out Matt Buckingham's blog for much better photos. ,false,"Hardin, Big Thicket National Preserve, Texas, United States",30.484946,-94.3324754444,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
5891795,2017-04-21,2017-04-21 14:27:20 UTC,Central Time (US & Canada),,,false,"725 Hobart St, Gary, IN, US",41.5986833333,-87.4161216667,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
5960938,2017-04-25,2017-04-26 00:51:34 UTC,Central Time (US & Canada),,"",false,"1719 County Road F, Quincy, WI, US",43.9208116667,-89.9012,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
5999217,2017-04-28,2017-04-28 16:43:00 UTC,Central Time (US & Canada),,Dry prairie dominated by little blue stem.,false,"Standing Cedars SNA, Buffalo Skull Unit, East Farmington, Polk County, WI, USA",45.2925,-92.74547,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
6002036,2015-06-07,2015-06-07 11:23:47 UTC,Central Time (US & Canada),,,false,"Spring Bluff Forest Preserve, Winthrop Harbor, IL, US",42.48887,-87.8107383333,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
6018089,2014-07-19,2014-07-19 14:24:00 UTC,Eastern Time (US & Canada),,,false,"New York, US",43.0322060577,-73.7035786674,,obscured,true,,sundial lupine,Lupinus perennis,sundial lupine,Plantae,81528
6052216,2017-05-02,2017-05-02 15:28:42 UTC,Central Time (US & Canada),,,false,"8740 77th St NE, Otsego, MN, US",45.2643746138,-93.7111019623,,,false,,Wild Lupine,Lupinus perennis,sundial lupine,Plantae,81528
6076909,2017-04-30,2017-04-30 11:12:00 UTC,Eastern Time (US & Canada),,Found in transmission line at Turnipseed Nature Preserve,false,"North Carolina, US",35.6236238785,-78.5895626112,,obscured,true,,sundial lupine,Lupinus perennis,sundial lupine,Plantae,81528
